Time Step,Lower X Limit,Upper X Limit,Lower Y Limit,Upper Y Limit
1,33,498,255,582
2,33,498,255,582
3,33,498,255,582
4,33,498,255,582
5,33,498,255,582
6,33,498,255,582
7,33,498,255,582
8,33,498,255,582
9,33,498,255,582
10,33,498,255,582
11,33,498,255,582
12,33,498,255,582
13,33,498,255,582
14,33,498,255,582
15,33,498,255,582
16,33,498,255,582
17,33,498,255,582
18,33,498,255,582
19,33,498,255,582
20,33,498,255,582
21,33,498,255,582
22,33,498,255,582
23,33,498,255,582
24,33,498,255,582
25,33,498,255,582
26,33,498,255,582
27,33,498,255,582
28,33,498,255,582
29,33,498,255,582
30,33,498,255,582
31,33,498,255,582
32,33,498,255,582
33,33,498,255,582
34,33,498,255,582
35,33,498,255,582
36,33,498,255,582
37,33,498,255,582
38,33,498,255,582
39,33,498,255,582
40,33,498,255,582
